CC(=NNC(=O)c1cccs1)C(=NNc1ccc(S(N)(=O)=O)cc1)N1CCCCC1,9.05
CC(=NNC(=O)c1cccs1)C(=NNc1ccc(S(N)(=O)=O)cc1)S(=O)(=O)c1ccccc1,8.35
CC(=NNC(=O)c1cccs1)C(Cl)=NNc1ccc(S(N)(=O)=O)cc1,9.03
CC(=NNC(=O)c1nc(N)n(-c2ccc(S(N)(=O)=O)cc2)n1)c1ccc(N2CCOCC2)cc1,7.27
CC(=NNC(=O)c1nc(N)n(-c2ccc(S(N)(=O)=O)cc2)n1)c1ccccc1,8.05
CC(=NNC(=O)c1nc(N)n(-c2ccc(S(N)(=O)=O)cc2)n1)c1ccncc1,8.07
CC(=NNC(N)=O)c1nnn(-c2ccc(S(=O)(=O)Nc3nccs3)cc2)c1C,5.16
CC(=NNC(N)=O)c1nnn(-c2ccc(S(N)(=O)=O)cc2)c1C,7.79
CC(=NNC(N)=S)c1nnn(-c2ccc(C(=O)O)cc2)c1C,6.38
CC(=NNC(N)=S)c1nnn(-c2ccc(S(=O)(=O)Nc3nccs3)cc2)c1C,4.2
CC(=NNC(N)=S)c1nnn(-c2ccc(S(N)(=O)=O)cc2)c1C,7.5
CC(=NNc1ccc(S(N)(=O)=O)cc1)c1cc2cc(Cl)ccc2oc1=O,6.12
CC(=NNc1ccc(S(N)(=O)=O)cc1)c1ccc(N2CCCC2)cc1,7.24
CC(=NNc1ccc(S(N)(=O)=O)cc1)c1ccc(N2CCCCC2)cc1,7.16
CC(=NNc1ccc(S(N)(=O)=O)cc1)c1ccc(N2CCN(C)CC2)cc1,7.05
CC(=NNc1ccc(S(N)(=O)=O)cc1)c1ccc(N2CCOCC2)cc1,7.18
CC(=NNc1ccc(S(N)(=O)=O)cc1)c1sc2nc3ccccc3n2c1C,6.88
CC(=NNc1nc(-c2ccc(Cl)cc2)cs1)c1nnn(-c2ccc(C(=O)O)cc2)c1C,6.25
CC(=NNc1nc(-c2ccc(Cl)cc2)cs1)c1nnn(-c2ccc(S(N)(=O)=O)cc2)c1C,7.85
CC(=NO)c1ccc(-c2ccc(O)c(F)c2)c(Cl)c1O,5.3
CC(=NO)c1ccc(-c2ccc(O)cc2)c(Cl)c1O,5.48
CC(=O)C(=Cc1ccc(Cl)cc1)C(=O)Nc1ccc(S(N)(=O)=O)cc1,9.21
CC(=O)C(=Cc1ccc(F)cc1Cl)C(=O)Nc1ccc(S(N)(=O)=O)cc1,8.25
CC(=O)C(=Cc1cccc([N+](=O)[O-])c1)C(=O)Nc1ccc(S(N)(=O)=O)cc1,8.16
CC(=O)C(=Cc1ccccc1)C(=O)Nc1ccc(S(N)(=O)=O)cc1,8.36
CC(=O)C(=Cc1ccccc1Cl)C(=O)Nc1ccc(S(N)(=O)=O)cc1,9.44
CC(=O)C(=Cc1cccs1)C(=O)Nc1ccc(S(N)(=O)=O)cc1,8.54
CC(=O)C(=NNc1ccc(Br)cc1)C(=O)Nc1ccc(S(N)(=O)=O)cc1,6.43
CC(=O)C(=NNc1ccc(C#N)cc1)C(=O)Nc1ccc(S(N)(=O)=O)cc1,7.28
CC(=O)C(=NNc1ccc(Cl)cc1)C(=O)Nc1ccc(S(N)(=O)=O)cc1,8.28
